,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
202,,"7,75","22,00 €",3053481,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23053481-laskas-de-bacalao-desalado-desmigado-alkorta-bandeja-250-g/
203,,"8,45","6,00 €",6888232,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/16888232-pate-de-salmon-para-gato-eroski-lata-100-g/
204,,"6,49","74,88 €",1508181,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/11508181-salmon-nature-sin-ahumar-martiko-sobre-80-g/
205,,"5,29","2,40 €",3538374,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/23538374-alimento-de-salmon-para-perro-brekkies-saco-14-kg/
206,,"2,65","26,60 €",3751639,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/23751639-salmon-al-natural-dani-pack-3x50-g/
207,,"1,80","15,18 €",4992158,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/24992158-delicias-de-salmon-pescanova-bandeja-280-g/
208,,"4,99",NA,4783912,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783912-juego-sabanas-jack-polar-color-salmon-3-piezas-100-poliester-eroski-talla-135/
209,,"4,19","11,76 €",2366199,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22366199-alimento-humedo-salmontrucha-gato-ultima-nature-paquete-340-g/
210,,"4,99","11,73 €",8192583,Congelados,Platos preparados,https://supermercado.eroski.es/es/productdetail/18192583-bunuelos-de-bacalao-maheso-caja-400-g/
211,,"6,45","5,29 €",7417080,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/17417080-barritas-de-surimi-eroski-basic-bandeja-350-g/
212,,"5,35","4,64 €",289492,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/4289492-palito-de-mar-eroski-basic-bolsa-450-g/
213,,"11,10","28,00 €",4187403,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/24187403-salmon-al-natural-calvo-pack-3x50-g/
214,,"1,25","35,00 €",8362681,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18362681-lomo-de-salmon-eroski-natur-ggn-bandeja-300-g/
215,,"5,05","6,57 €",9535475,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/19535475-alimento-de-salmon-para-perro-mini-sensitive-ultima-saco-15-kg/
216,,"1,09",NA,5234691,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25234691-natural-stick-salmon-vitakraft-pack-4x5-g/
217,,"4,25","30,91 €",36015,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/836015-alminuto-gulas-gambas-al-ajillo-la-gula-del-norte-sobre-110-g/
218,,"4,69","30,91 €",3519655,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23519655-alminuto-gula-gambas-y-setas-la-gula-del-norte-sobre-110-g/
219,,"4,89","12,82 €",5324914,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25324914-alimento-bacalao-y-pollo-gato-junior-edgardcooper-tarrina-85-g/
220,,"1,25","6,63 €",4206874,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/14206874-alimento-de-salmon-gato-esterilizado-ultima-saco-15-kg/
