,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
107,,"1,35","23,96 €",9942226,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/19942226-migas-de-bacalao-pescanova-bolsa-250-g/
108,,"2,69","33,17 €",9828425,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/19828425-filete-de-salmon-eroski-natur-ggn-bandeja-300-g/
109,,"18,90","17,96 €",2007779,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/12007779-rodaja-de-salmon-al-peso-compra-minima-700-g/
110,,"19,75","3,67 €",681517,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/3681517-mix-de-salmon-atun-verdura-para-gato-brekkies-saco-15-kg/
111,,"3,25","10,00 €",1755772,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/21755772-alimento-de-salmon-pavo-gato-esteriliz-purina-one-pack-4x85-g/
112,,"11,10","30,56 €",4260366,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24260366-snack-jelly-msc-de-salmon-para-gato-vitakraft-caja-90-g/
113,,"3,49","44,20 €",2468599,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/22468599-centros-de-salmon-pescanova-caja-250-g/
114,,"3,45","13,95 €",25771,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/225771-salmon-entero-pieza-al-peso-aprox-3-kg/
115,,"0,75","40,25 €",1571831,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21571831-maki-de-salmon-sushitake-bandeja-118-g/
116,,"20,45","18,83 €",4440331,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/24440331-salmon-con-setas-giraldo-bandeja-300-g/
117,,"9,95",NA,3714330,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/23714330-lomos-de-bacalao-al-punto-de-sal-la-sirena-bandeja-500-g/
118,,"17,95","7,96 €",4972341,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/24972341-alimento-de-salmon-para-perro-mini-ultima-nature-saco-125-kg/
119,,"2,00","17,46 €",1053194,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21053194-croquetas-de-bacalao-casa-mas-bandeja-280-g/
120,,"1,29","8,97 €",5528712,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/25528712-alimento-de-salmon-pavo-para-perro-edgardcooper-tarrina-300-g/
121,,"11,75","4,99 €",2380885,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/22380885-alimento-sensitive-de-salmon-perro-mediano-max-ultima-saco-7-kg/
122,,"7,55","5,14 €",7512781,Congelados,Platos preparados,https://supermercado.eroski.es/es/productdetail/17512781-croquetas-de-bacalao-eroski-bolsa-350-g/
123,,"2,69","30,91 €",3519663,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23519663-alminuto-de-gula-de-trufa-la-gula-del-norte-sobre-135-g/
124,,"5,65",NA,7947706,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/17947706-cat-yums-de-salmon-trucha-vitakraft-paquete-40-g/
125,,"9,65","69,95 €",3870662,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/13870662-salmon-ahumado-martiko-sobre-200-g/
126,,"7,20","40,22 €",5298597,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/25298597-salmon-corte-maestro-x4-mowi-bandeja-460-g/
127,,"5,30","6,59 €",5290255,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25290255-alimento-de-salmon-para-gato-esterilizado-one-paquete-15-kg/
128,,"4,05","6,89 €",5302910,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25302910-alimento-de-salmon-para-gato-esterilizado-one-paquete-28-kg/
129,,"2,99","41,50 €",5298365,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/25298365-salmon-bio-lomos-x2-mowi-bandeja-300-g/
130,,"1,09","7,94 €",2466072,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22466072-gelatina-de-salmon-caza-para-gato-vitakraft-poesie-pack-6x85-g/
131,,"25,00","29,97 €",8358390,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/18358390-lomo-extra-de-bacalao-royal-bandeja-300-g/
132,,"2,99","24,75 €",49341,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/749341-gulas-al-ajillo-ubago-lata-200-g/
133,,"7,95","9,50 €",375123,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/8375123-alimento-humedo-de-salmon-atun-para-gato-brekkies-tarrina-100-g/
134,,"3,15","35,00 €",1119425,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/21119425-solomillos-de-salmon-eroski-natur-ggn-bandeja-300-g/
135,,"34,95","0,53 €",5277700,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/15277700-cat-liquido-de-salmon-con-omega-3-vitakraft-pack-6-uds/
136,,"19,29","30,91 €",37005,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/837005-alminuto-de-gulas-al-ajillo-la-gula-del-norte-sobre-110-g/
137,,"11,10","6,56 €",545843,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/5545843-rollito-de-mar-pescanova-caja-450-g/
138,,"9,95","21,50 €",1195052,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21195052-bacalao-a-la-vizcaina-eroski-seleqtia-bandeja-300-g/
139,,"9,99","55,44 €",8964569,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18964569-salmon-ahumado-eroski-seleqtia-sobre-90-g/
140,,"44,95","5,98 €",4972390,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/24972390-alimento-de-salmon-para-perro-mediano-ultima-nature-saco-3-kg/
141,,"35,00","15,18 €",5324971,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25324971-alimento-de-salmon-y-pollo-bio-gato-edgardcooper-tarrina-85-g/
142,,"33,55","53,80 €",5002833,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25002833-comida-humeda-de-salmon-para-gato-gourmet-nature-pack-5x10-g/
143,,"31,00","29,83 €",5275969,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/15275969-snack-de-salmon-para-gato-catisfaction-paquete-60-g/
144,,"28,00","12,82 €",5324955,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25324955-alimento-salmon-y-pollo-gato-adulto-edgardcooper-tarrina-85-g/
145,,"8,95","31,50 €",4543670,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/24543670-filete-de-salmon-para-perro-biozoo-bolsa-100-g/
146,,"7,95","16,60 €",118878,Frescos,Queso y membrillo,https://supermercado.eroski.es/es/productdetail/9118878-queso-con-salmon-philadelphia-tarrina-150-g/
147,,"6,10",NA,2607840,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22607840-stick-de-salmon-trucha-vitakraft-18-g/
148,,"3,30","14,56 €",0011813,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/20011813-barritas-de-surimi-krissia-bandeja-480-g/
149,,"3,15","74,58 €",0587731,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/10587731-salmon-ahumado-dados-royal-bandeja-120-g/
150,,"1,59","32,86 €",2365268,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/12365268-bacalao-desalado-menu-msc-eroski-bandeja-400-g/
151,,"1,75","74,88 €",2404206,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/22404206-salmon-ahumado-reducido-en-sal-martiko-sobre-80-g/
152,,"1,99",NA,4789794,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24789794-juego-sabanas-namira-salmon-4-piezas-50-algodon-50-poliester-eroski-talla-135/
153,,"2,60","18,55 €",3816689,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23816689-bacalao-al-punto-de-sal-sin-piel-bandeja-aprox-400-g/
154,,"8,99","23,80 €",4092033,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24092033-ventresca-de-bacalao-desalado-alkorta-nature-bandeja-250-g/
155,,"2,69","24,14 €",5531302,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/25531302-colas-de-bacalao-sin-espinas-pescanova-bandeja-350-g/
156,,"28,00","21,63 €",2365243,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/12365243-bacalao-al-pil-pil-eroski-seleqtia-bandeja-300-g/
157,,"27,00","39,75 €",1119433,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/21119433-escalopines-de-salmon-eroski-natur-ggn-bandeja-200-g/
158,,"27,00","9,79 €",2444640,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22444640-alimento-de-salmon-para-gato-beyond-grain-free-paquete-12-kg/
159,,"33,00",NA,4783714,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783714-juego-sabanas-carl-polar-color-salmon-3-piezas-100-poliester-eroski-talla-90/
160,,"39,00","9,95 €",0882900,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/10882900-bacalao-skrei-pieza-al-peso-aprox-5-kg/
161,,"25,00","16,29 €",223613,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/7223613-lomos-de-bacalao-eroski-bolsa-450-g/
162,,"1,50","30,17 €",198995,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/9198995-bacalao-a-la-vizcaina-albo-lata-115-g/
163,,"8,99","11,37 €",2449054,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/12449054-divinas-del-mar-al-ajillo-con-gambas-eroski-bandeja-175-g/
164,,"5,99","9,06 €",9539741,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/19539741-mousse-de-salmon-para-gato-poesie-vitakraft-lata-85-g/
